Año,SemanaEpidemiologica,FechaInicio,FechaFin
2021,1,2021-01-03,2021-01-09
2021,2,2021-01-10,2021-01-16
2021,3,2021-01-17,2021-01-23
2021,4,2021-01-24,2021-01-30
2021,5,2021-01-31,2021-02-06
2021,6,2021-02-07,2021-02-13
2021,7,2021-02-14,2021-02-20
2021,8,2021-02-21,2021-02-27
2021,9,2021-02-28,2021-03-06
2021,10,2021-03-07,2021-03-13
2021,11,2021-03-14,2021-03-20
2021,12,2021-03-21,2021-03-27
2021,13,2021-03-28,2021-04-03
2021,14,2021-04-04,2021-04-10
2021,15,2021-04-11,2021-04-17
2021,16,2021-04-18,2021-04-24
2021,17,2021-04-25,2021-05-01
2021,18,2021-05-02,2021-05-08
2021,19,2021-05-09,2021-05-15
2021,20,2021-05-16,2021-05-22
2021,21,2021-05-23,2021-05-29
2021,22,2021-05-30,2021-06-05
2021,23,2021-06-06,2021-06-12
2021,24,2021-06-13,2021-06-19
2021,25,2021-06-20,2021-06-26
2021,26,2021-06-27,2021-07-03
2021,27,2021-07-04,2021-07-10
2021,28,2021-07-11,2021-07-17
2021,29,2021-07-18,2021-07-24
2021,30,2021-07-25,2021-07-31
2021,31,2021-08-01,2021-08-07
2021,32,2021-08-08,2021-08-14
2021,33,2021-08-15,2021-08-21
2021,34,2021-08-22,2021-08-28
2021,35,2021-08-29,2021-09-04
2021,36,2021-09-05,2021-09-11
2021,37,2021-09-12,2021-09-18
2021,38,2021-09-19,2021-09-25
2021,39,2021-09-26,2021-10-02
2021,40,2021-10-03,2021-10-09
2021,41,2021-10-10,2021-10-16
2021,42,2021-10-17,2021-10-23
2021,43,2021-10-24,2021-10-30
2021,44,2021-10-31,2021-11-06
2021,45,2021-11-07,2021-11-13
2021,46,2021-11-14,2021-11-20
2021,47,2021-11-21,2021-11-27
2021,48,2021-11-28,2021-12-04
2021,49,2021-12-05,2021-12-11
2021,50,2021-12-12,2021-12-18
2021,51,2021-12-19,2021-12-25
2021,52,2021-12-26,2022-01-01
2022,1,2022-01-02,2022-01-08
2022,2,2022-01-09,2022-01-15
2022,3,2022-01-16,2022-01-22
2022,4,2022-01-23,2022-01-29
2022,5,2022-01-30,2022-02-05
2022,6,2022-02-06,2022-02-12
2022,7,2022-02-13,2022-02-19
2022,8,2022-02-20,2022-02-26
2022,9,2022-02-27,2022-03-05
2022,10,2022-03-06,2022-03-12
2022,11,2022-03-13,2022-03-19
2022,12,2022-03-20,2022-03-26
2022,13,2022-03-27,2022-04-02
2022,14,2022-04-03,2022-04-09
2022,15,2022-04-10,2022-04-16
2022,16,2022-04-17,2022-04-23
2022,17,2022-04-24,2022-04-30
2022,18,2022-05-01,2022-05-07
2022,19,2022-05-08,2022-05-14
2022,20,2022-05-15,2022-05-21
2022,21,2022-05-22,2022-05-28
2022,22,2022-05-29,2022-06-04
2022,23,2022-06-05,2022-06-11
2022,24,2022-06-12,2022-06-18
2022,25,2022-06-19,2022-06-25
2022,26,2022-06-26,2022-07-02
2022,27,2022-07-03,2022-07-09
2022,28,2022-07-10,2022-07-16
2022,29,2022-07-17,2022-07-23
2022,30,2022-07-24,2022-07-30
2022,31,2022-07-31,2022-08-06
2022,32,2022-08-07,2022-08-13
2022,33,2022-08-14,2022-08-20
2022,34,2022-08-21,2022-08-27
2022,35,2022-08-28,2022-09-03
2022,36,2022-09-04,2022-09-10
2022,37,2022-09-11,2022-09-17
2022,38,2022-09-18,2022-09-24
2022,39,2022-09-25,2022-10-01
2022,40,2022-10-02,2022-10-08
2022,41,2022-10-09,2022-10-15
2022,42,2022-10-16,2022-10-22
2022,43,2022-10-23,2022-10-29
2022,44,2022-10-30,2022-11-05
2022,45,2022-11-06,2022-11-12
2022,46,2022-11-13,2022-11-19
2022,47,2022-11-20,2022-11-26
2022,48,2022-11-27,2022-12-03
2022,49,2022-12-04,2022-12-10
2022,50,2022-12-11,2022-12-17
2022,51,2022-12-18,2022-12-24
2022,52,2022-12-25,2022-12-31
